"author","authorIsChannelOwner","cid","comment","commentsCount","hasCreatorHeart","pageUrl","publishedTimeText","replyCount","replyToCid","title","type","videoId","voteCount"
"@kanghafidzzz","false","Ugwz3FqDFIgevEnVUaN4AaABAg.A3Iaocx4XY6A3Ig6aibubT","Oh brarti starlink juga broadband ya mas","4843","false","https://www.youtube.com/watch?v=U-ZyepruMh0","5 months ago","0","Ugwz3FqDFIgevEnVUaN4AaABAg","STARLINK INDONESIA REVIEW, INTERNET DARI LANGIT TANPA SINYAL DIMANAPUN ANDA BERADA (TERLENGKAP)","reply","U-ZyepruMh0","1"
"@yohanesden9018","false","Ugwz3FqDFIgevEnVUaN4AaABAg.A3Iaocx4XY6A3IhNG2w4rm","mas Nanang.. apa kh paket starlink ini bisa di buat wifi Voucheran? agar bisa jualan internet wifi di kampung..","4843","false","https://www.youtube.com/watch?v=U-ZyepruMh0","5 months ago","0","Ugwz3FqDFIgevEnVUaN4AaABAg","STARLINK INDONESIA REVIEW, INTERNET DARI LANGIT TANPA SINYAL DIMANAPUN ANDA BERADA (TERLENGKAP)","reply","U-ZyepruMh0","8"
"@juzcomment","false","Ugwz3FqDFIgevEnVUaN4AaABAg.A3Iaocx4XY6A3Ii4mB5G8d"," @yohanesden9018  UDA DIJELASIN PAKE HURUF KAPITAL GITU MASIH NANYA KY GINI???","4843","false","https://www.youtube.com/watch?v=U-ZyepruMh0","5 months ago","0","Ugwz3FqDFIgevEnVUaN4AaABAg","STARLINK INDONESIA REVIEW, INTERNET DARI LANGIT TANPA SINYAL DIMANAPUN ANDA BERADA (TERLENGKAP)","reply","U-ZyepruMh0","0"
"@jonikorwa8418","false","Ugwz3FqDFIgevEnVUaN4AaABAg.A3Iaocx4XY6A3IilLSIYRh","Mas,misal di perluas pke repeater hnya untuk mnbah jangkauan bbrpa rmah dr rmah utama gt aman gak ya?jd kasusnya bukan untuk djual intrnet rt rw net,tp tmpat usaha brjarak bbrpaa rmah ddr rmah utama yg mw dpsang starlink. Misal di tmpat usaha gak smpe sinyal wifi nya trus dpke kan repeater apakah aman maas?mohon infonya. Mslahnya hrga alat nya ra main2,trus prkara mw dpke sndri hnya beda lokasi trus di blokir kan ra lucu.😂😂😂","4843","false","https://www.youtube.com/watch?v=U-ZyepruMh0","5 months ago","0","Ugwz3FqDFIgevEnVUaN4AaABAg","STARLINK INDONESIA REVIEW, INTERNET DARI LANGIT TANPA SINYAL DIMANAPUN ANDA BERADA (TERLENGKAP)","reply","U-ZyepruMh0","3"
"@NanangMrk","true","Ugwz3FqDFIgevEnVUaN4AaABAg.A3Iaocx4XY6A3IisFlGrkJ","​ @yohanesden9018 Indonesia darurat Membaca","4843","false","https://www.youtube.com/watch?v=U-ZyepruMh0","5 months ago","0","Ugwz3FqDFIgevEnVUaN4AaABAg","STARLINK INDONESIA REVIEW, INTERNET DARI LANGIT TANPA SINYAL DIMANAPUN ANDA BERADA (TERLENGKAP)","reply","U-ZyepruMh0","64"
"@Renngur","false","Ugwz3FqDFIgevEnVUaN4AaABAg.A3Iaocx4XY6A3IjNKA25cD"," @NanangMrk sy udh coba pesan dari minggu lalu namun pada saat klik perbarui alamat pengiriman malah gak bisa lanjut pembayaran selalu muncul “ ada yang tidak beres di pihak kami, harap tunggu lalu coba lagi “ apakah ada solusi","4843","false","https://www.youtube.com/watch?v=U-ZyepruMh0","5 months ago","0","Ugwz3FqDFIgevEnVUaN4AaABAg","STARLINK INDONESIA REVIEW, INTERNET DARI LANGIT TANPA SINYAL DIMANAPUN ANDA BERADA (TERLENGKAP)","reply","U-ZyepruMh0","5"
"@MARUYUNK_69","false","Ugwz3FqDFIgevEnVUaN4AaABAg.A3Iaocx4XY6A3IjPnmpThp","Setelah Saya baca ini, Sya 100% mundur ga jadi Beli untuk Memperkaya diri sendiri dan Menggunakan ISP lama untuk Menghidupi RT RW net Saya. . .😅😅😅😅","4843","false","https://www.youtube.com/watch?v=U-ZyepruMh0","5 months ago","0","Ugwz3FqDFIgevEnVUaN4AaABAg","STARLINK INDONESIA REVIEW, INTERNET DARI LANGIT TANPA SINYAL DIMANAPUN ANDA BERADA (TERLENGKAP)","reply","U-ZyepruMh0","29"
"@adamsobari3746","false","Ugwz3FqDFIgevEnVUaN4AaABAg.A3Iaocx4XY6A3Ikxg-4v05","1:11","4843","false","https://www.youtube.com/watch?v=U-ZyepruMh0","5 months ago","0","Ugwz3FqDFIgevEnVUaN4AaABAg","STARLINK INDONESIA REVIEW, INTERNET DARI LANGIT TANPA SINYAL DIMANAPUN ANDA BERADA (TERLENGKAP)","reply","U-ZyepruMh0","11"
"@gositakupas9407","false","Ugwz3FqDFIgevEnVUaN4AaABAg.A3Iaocx4XY6A3Il6_If7VO","Pake yg bisnis bisa gk bosss","4843","false","https://www.youtube.com/watch?v=U-ZyepruMh0","5 months ago","0","Ugwz3FqDFIgevEnVUaN4AaABAg","STARLINK INDONESIA REVIEW, INTERNET DARI LANGIT TANPA SINYAL DIMANAPUN ANDA BERADA (TERLENGKAP)","reply","U-ZyepruMh0","1"
"@arwaniwahab","false","Ugwz3FqDFIgevEnVUaN4AaABAg.A3Iaocx4XY6A3IlA0e9OEC","​ @MARUYUNK_69 😂😂😂","4843","false","https://www.youtube.com/watch?v=U-ZyepruMh0","5 months ago","0","Ugwz3FqDFIgevEnVUaN4AaABAg","STARLINK INDONESIA REVIEW, INTERNET DARI LANGIT TANPA SINYAL DIMANAPUN ANDA BERADA (TERLENGKAP)","reply","U-ZyepruMh0","0"
